uid,domain_group,domain_method
xaji0y6d,domain_06,kmeans_standardized_geometry_v1
pbhsahxt,domain_06,kmeans_standardized_geometry_v1
hv3a3zmf,domain_06,kmeans_standardized_geometry_v1
8mdd4v30,domain_06,kmeans_standardized_geometry_v1
t9nt3w5u,domain_06,kmeans_standardized_geometry_v1
zbikcidk,domain_06,kmeans_standardized_geometry_v1
wnnhj7xv,domain_06,kmeans_standardized_geometry_v1
g0fn9xuy,domain_06,kmeans_standardized_geometry_v1
41ibljh7,domain_06,kmeans_standardized_geometry_v1
5lxo6qji,domain_06,kmeans_standardized_geometry_v1
ujv6oh9s,domain_06,kmeans_standardized_geometry_v1
dbdw2pcn,domain_06,kmeans_standardized_geometry_v1
9t84azyt,domain_06,kmeans_standardized_geometry_v1
jxepq85j,domain_06,kmeans_standardized_geometry_v1
sg65kxvf,domain_06,kmeans_standardized_geometry_v1
1t2tala7,domain_06,kmeans_standardized_geometry_v1
53lc58dr,domain_06,kmeans_standardized_geometry_v1
c11ertj5,domain_06,kmeans_standardized_geometry_v1
9mx2x18h,domain_02,kmeans_standardized_geometry_v1
afeyuhz1,domain_02,kmeans_standardized_geometry_v1
gv0e38da,domain_00,kmeans_standardized_geometry_v1
ly8ozcyw,domain_02,kmeans_standardized_geometry_v1
d14ve92m,domain_02,kmeans_standardized_geometry_v1
pnsm43d8,domain_02,kmeans_standardized_geometry_v1
w3zp08j3,domain_02,kmeans_standardized_geometry_v1
trp0j43d,domain_02,kmeans_standardized_geometry_v1
5iqvnb4g,domain_02,kmeans_standardized_geometry_v1
h2m5zja8,domain_02,kmeans_standardized_geometry_v1
dzr1yxr2,domain_02,kmeans_standardized_geometry_v1
dhylurtp,domain_02,kmeans_standardized_geometry_v1
0lzjjege,domain_02,kmeans_standardized_geometry_v1
t1ghr09s,domain_02,kmeans_standardized_geometry_v1
kdgigatj,domain_02,kmeans_standardized_geometry_v1
9tze5r5u,domain_02,kmeans_standardized_geometry_v1
qpgb7r3o,domain_03,kmeans_standardized_geometry_v1
cwbfuk9e,domain_02,kmeans_standardized_geometry_v1
1v2isqp4,domain_02,kmeans_standardized_geometry_v1
9kwv08hh,domain_02,kmeans_standardized_geometry_v1
xfgcaqvk,domain_02,kmeans_standardized_geometry_v1
izzqy72w,domain_02,kmeans_standardized_geometry_v1
x7ptx63c,domain_02,kmeans_standardized_geometry_v1
fl0ukeyz,domain_02,kmeans_standardized_geometry_v1
7srcbplj,domain_02,kmeans_standardized_geometry_v1
d84u89yj,domain_02,kmeans_standardized_geometry_v1
b1qx6gvw,domain_02,kmeans_standardized_geometry_v1
rdmly4ly,domain_02,kmeans_standardized_geometry_v1
k83tqll8,domain_02,kmeans_standardized_geometry_v1
os9xtogn,domain_02,kmeans_standardized_geometry_v1
1w1ht7pz,domain_02,kmeans_standardized_geometry_v1
e9vifttd,domain_02,kmeans_standardized_geometry_v1
96qe3rzs,domain_02,kmeans_standardized_geometry_v1
j49itn7s,domain_02,kmeans_standardized_geometry_v1
55j2o7s3,domain_02,kmeans_standardized_geometry_v1
kkv9rftm,domain_02,kmeans_standardized_geometry_v1
ttqlgzui,domain_02,kmeans_standardized_geometry_v1
