feature,importance,absolute_importance,kind
asymmetry_high_uptake_volume_mm3_abs,,,not_available
asymmetry_high_uptake_volume_mm3_normalized,,,not_available
asymmetry_mean_abs,,,not_available
asymmetry_mean_normalized,,,not_available
asymmetry_p95_abs,,,not_available
asymmetry_p95_normalized,,,not_available
background_uptake,,,not_available
bilateral_sbr_like,,,not_available
bilateral_striatum_to_background,,,not_available
component_volume_ratio,,,not_available
high_uptake_fraction_rel_0_40,,,not_available
high_uptake_fraction_rel_0_50,,,not_available
high_uptake_fraction_rel_0_60,,,not_available
high_uptake_physical_volume_mm3,,,not_available
high_uptake_volume_mm3_rel_0_40,,,not_available
high_uptake_volume_mm3_rel_0_60,,,not_available
high_uptake_voxel_count,,,not_available
largest_component_volume_mm3,,,not_available
left_anterior_uptake,,,not_available
left_bounding_box_extent_x_mm,,,not_available
left_bounding_box_extent_y_mm,,,not_available
left_bounding_box_extent_z_mm,,,not_available
left_compactness_like,,,not_available
left_elongation_ratio,,,not_available
left_high_uptake_volume_mm3,,,not_available
left_lambda2_over_lambda1,,,not_available
left_lambda3_over_lambda1,,,not_available
left_max,,,not_available
left_mean,,,not_available
left_p50,,,not_available
left_p75,,,not_available
left_p90,,,not_available
left_p95,,,not_available
left_p99,,,not_available
left_p99_5,,,not_available
left_posterior_to_anterior,,,not_available
left_posterior_uptake,,,not_available
left_principal_axis_length_1_mm,,,not_available
left_principal_axis_length_2_mm,,,not_available
left_principal_axis_length_3_mm,,,not_available
left_sbr_like,,,not_available
left_std,,,not_available
left_striatum_to_background,,,not_available
maximum_side_uptake,,,not_available
mean_bilateral_uptake,,,not_available
mean_posterior_to_anterior,,,not_available
minimum_posterior_to_anterior,,,not_available
minimum_side_to_background,,,not_available
minimum_side_uptake,,,not_available
number_of_connected_components,,,not_available
number_of_connected_components_rel_0_40,,,not_available
number_of_connected_components_rel_0_60,,,not_available
right_anterior_uptake,,,not_available
right_bounding_box_extent_x_mm,,,not_available
right_bounding_box_extent_y_mm,,,not_available
right_bounding_box_extent_z_mm,,,not_available
right_compactness_like,,,not_available
right_elongation_ratio,,,not_available
right_high_uptake_volume_mm3,,,not_available
right_lambda2_over_lambda1,,,not_available
right_lambda3_over_lambda1,,,not_available
right_max,,,not_available
right_mean,,,not_available
right_p50,,,not_available
right_p75,,,not_available
right_p90,,,not_available
right_p95,,,not_available
right_p99,,,not_available
right_p99_5,,,not_available
right_posterior_to_anterior,,,not_available
right_posterior_uptake,,,not_available
right_principal_axis_length_1_mm,,,not_available
right_principal_axis_length_2_mm,,,not_available
right_principal_axis_length_3_mm,,,not_available
right_sbr_like,,,not_available
right_std,,,not_available
right_striatum_to_background,,,not_available
roi_max,,,not_available
roi_mean,,,not_available
roi_p50,,,not_available
roi_p75,,,not_available
roi_p90,,,not_available
roi_p95,,,not_available
roi_p99,,,not_available
roi_p99_5,,,not_available
roi_positive_fraction,,,not_available
roi_std,,,not_available
second_largest_component_volume_mm3,,,not_available
