feature,importance,absolute_importance,kind
roi_p99_5,-2.957956248350979,2.957956248350979,standardized_coefficient
roi_p95,1.3072921527060994,1.3072921527060994,standardized_coefficient
roi_std,1.1151700501707602,1.1151700501707602,standardized_coefficient
roi_p50,0.7194960275365699,0.7194960275365699,standardized_coefficient
roi_mean,-0.6200667912237052,0.6200667912237052,standardized_coefficient
minimum_side_to_background,0.6155038614091058,0.6155038614091058,standardized_coefficient
roi_p75,-0.5974226038405062,0.5974226038405062,standardized_coefficient
background_uptake,0.5964774621817828,0.5964774621817828,standardized_coefficient
high_uptake_fraction_rel_0_50,0.5936969658130896,0.5936969658130896,standardized_coefficient
roi_max,0.5814993144573233,0.5814993144573233,standardized_coefficient
roi_p99,0.4818262448871387,0.4818262448871387,standardized_coefficient
left_sbr_like,-0.42777352273026353,0.42777352273026353,standardized_coefficient
left_striatum_to_background,-0.4277614560751014,0.4277614560751014,standardized_coefficient
high_uptake_fraction_rel_0_60,-0.41021595688169304,0.41021595688169304,standardized_coefficient
asymmetry_high_uptake_volume_mm3_normalized,0.3397602498994373,0.3397602498994373,standardized_coefficient
asymmetry_mean_abs,0.32694433965242203,0.32694433965242203,standardized_coefficient
asymmetry_mean_normalized,-0.306462948097491,0.306462948097491,standardized_coefficient
roi_p90,0.2060110299091988,0.2060110299091988,standardized_coefficient
high_uptake_fraction_rel_0_40,-0.19726059830652504,0.19726059830652504,standardized_coefficient
asymmetry_p95_abs,0.15040663965129691,0.15040663965129691,standardized_coefficient
roi_positive_fraction,-0.13712490242619116,0.13712490242619116,standardized_coefficient
right_striatum_to_background,0.1335712930427874,0.1335712930427874,standardized_coefficient
right_sbr_like,0.13356044196887273,0.13356044196887273,standardized_coefficient
bilateral_sbr_like,-0.024070797141191622,0.024070797141191622,standardized_coefficient
bilateral_striatum_to_background,-0.02405871409760082,0.02405871409760082,standardized_coefficient
asymmetry_p95_normalized,-0.020271152015890227,0.020271152015890227,standardized_coefficient
asymmetry_high_uptake_volume_mm3_abs,0.018470486246119473,0.018470486246119473,standardized_coefficient
